158.167.97.29 - - [01/Mar/2016:11:08:52 +0100] "GET /sparql?query=SELECT+%3Fs+%3Fp+%3Fo%0A%0A%0AFROM+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E%0AWHERE+%7B+%0A%0A++++++++++++++++%3Fs+%3Fp+%3Fo+.%0A%0A++++++++++++++++%3Fs+%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23type%3E+%3Chttp%3A%2F%2Fpurl.org%2Flinked-data%2Fcube%23Observation%3E+.%0A%0A++++++++++++++++%3Fs+%3Chttp%3A%2F%2Fpurl.org%2Flinked-data%2Fcube%23dataSet%3E+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fds%2Findicator%2FFOA_cit_Country__of_pub_serv_for_citizen%3E+.%0A+%3Fs+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fproperties%2Fcountry%3E+%3Fd0+.%0A+%3Fs+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fproperties%2Fyear%3E+%3Fd1+.%0A+FILTER+%28+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FIreland%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FGermany%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FBelgium%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FFrance%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FIceland%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FFinland%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FAustria%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FGreece%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FSpain%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FDenmark%3E+%29+%0A+FILTER+%28+%3Fd1+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fyear%2F2002%3E+OR+%3Fd1+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fyear%2F2003%3E+OR+%3Fd1+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fyear%2F2004%3E+%29+%0A%7D+ HTTP/1.1" 200 71623 "" "Zend_Http_Client"
158.167.97.29 - - [01/Mar/2016:11:08:52 +0100] "GET /sparql?query=PREFIX+sysont%3A+%3Chttp%3A%2F%2Fns.ontowiki.net%2FSysOnt%2F%3E+SELECT+%3Fp+%0A%0AFROM+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E%0AWHERE+%7B%3Fp+sysont%3Ahidden+%3Fo+%7D+ HTTP/1.1" 200 288 "" "Zend_Http_Client"
158.167.97.29 - - [01/Mar/2016:11:08:52 +0100] "GET /sparql?query=SELECT+DISTINCT+%3Fpredicate+%3Fobject++%0A%0AFROM+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E%0AWHERE+%7B+%0A%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E+%3Fpredicate+%3Fobject+%0AFILTER+%28%21isBLANK%28%3Fobject%29%29+%0A%7D+ORDER+BY+ASC%28%3Fpredicate%29%0A HTTP/1.1" 200 1898 "" "Zend_Http_Client"
158.167.97.29 - - [01/Mar/2016:11:09:03 +0100] "GET /sparql?query=SELECT++%3F0+%3F1+%0A%0AFROM+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E%0AWHERE+%7B+%7B%3Fs+%3Chttp%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23label%3E+%3F0.%7D+UNION+%7B%3Fs+%3Chttp%3A%2F%2Fpurl.org%2Fdc%2Felements%2F1.1%2Ftitle%3E+%3F1.%7D+FILTER+%28sameTerm%28%3Fs%2C+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E%29%29+%7D+ HTTP/1.1" 200 397 "" "Zend_Http_Client"
158.167.97.29 - - [01/Mar/2016:11:09:03 +0100] "GET /sparql?query=PREFIX+sysont%3A+%3Chttp%3A%2F%2Fns.ontowiki.net%2FSysOnt%2F%3E+SELECT+%3Fp+%0A%0AFROM+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E%0AWHERE+%7B%3Fp+sysont%3Ahidden+%3Fo+%7D+ HTTP/1.1" 200 288 "" "Zend_Http_Client"
158.167.97.29 - - [01/Mar/2016:11:09:03 +0100] "GET /sparql?query=SELECT+DISTINCT+%3Fpredicate+%3Fobject++%0A%0AFROM+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E%0AWHERE+%7B+%0A%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E+%3Fpredicate+%3Fobject+%0AFILTER+%28%21isBLANK%28%3Fobject%29%29+%0A%7D+ORDER+BY+ASC%28%3Fpredicate%29%0A HTTP/1.1" 200 1898 "" "Zend_Http_Client"
158.167.97.29 - - [01/Mar/2016:11:09:03 +0100] "GET /sparql?query=PREFIX+sysont%3A+%3Chttp%3A%2F%2Fns.ontowiki.net%2FSysOnt%2F%3E+SELECT+%3Fp+%0A%0AFROM+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E%0AWHERE+%7B%3Fp+sysont%3Ahidden+%3Fo+%7D+ HTTP/1.1" 200 288 "" "Zend_Http_Client"
158.167.97.29 - - [01/Mar/2016:11:09:03 +0100] "GET /sparql?query=SELECT+DISTINCT+%3Fpredicate+%3Fobject++%0A%0AFROM+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E%0AWHERE+%7B+%0A%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E+%3Fpredicate+%3Fobject+%0AFILTER+%28%21isBLANK%28%3Fobject%29%29+%0A%7D+ORDER+BY+ASC%28%3Fpredicate%29%0A HTTP/1.1" 200 1898 "" "Zend_Http_Client"
158.167.97.29 - - [01/Mar/2016:11:09:45 +0100] "GET /sparql?query=SELECT+%3Fs+%3Fp+%3Fo%0A%0A%0AFROM+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E%0AWHERE+%7B+%0A%0A++++++++++++++++%3Fs+%3Fp+%3Fo+.%0A%0A++++++++++++++++%3Fs+%3Chttp%3A%2F%2Fwww.w3.org%2F1999%2F02%2F22-rdf-syntax-ns%23type%3E+%3Chttp%3A%2F%2Fpurl.org%2Flinked-data%2Fcube%23Observation%3E+.%0A%0A++++++++++++++++%3Fs+%3Chttp%3A%2F%2Fpurl.org%2Flinked-data%2Fcube%23dataSet%3E+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fds%2Findicator%2FFOA_cit_Country__of_pub_serv_for_citizen%3E+.%0A+%3Fs+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fproperties%2Fcountry%3E+%3Fd0+.%0A+%3Fs+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fproperties%2Fyear%3E+%3Fd1+.%0A+FILTER+%28+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FAustria%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FBelgium%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FGermany%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FDenmark%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FGreece%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FSpain%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FFinland%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FFrance%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FIreland%3E+OR+%3Fd0+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fcountry%2FIceland%3E+%29+%0A+FILTER+%28+%3Fd1+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fyear%2F2007%3E+OR+%3Fd1+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fyear%2F2009%3E+OR+%3Fd1+%3D+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2Fyear%2F2010%3E+%29+%0A%7D+ HTTP/1.1" 200 71549 "" "Zend_Http_Client"
158.167.97.29 - - [01/Mar/2016:11:10:07 +0100] "GET /sparql?query=SELECT++%3F0+%3F1+%0A%0AFROM+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E%0AWHERE+%7B+%7B%3Fs+%3Chttp%3A%2F%2Fwww.w3.org%2F2000%2F01%2Frdf-schema%23label%3E+%3F0.%7D+UNION+%7B%3Fs+%3Chttp%3A%2F%2Fpurl.org%2Fdc%2Felements%2F1.1%2Ftitle%3E+%3F1.%7D+FILTER+%28sameTerm%28%3Fs%2C+%3Chttp%3A%2F%2Fdata.lod2.eu%2Fscoreboard%2F%3E%29%29+%7D+ HTTP/1.1" 200 397 "" "Zend_Http_Client"
